individual	n_missing	p_missing
UP03_011	384	0.0674394099052
UP03_019	789	0.13856691254
UP03_027	1830	0.321390937829
UP03_035	874	0.15349490692
UP03_043	1010	0.177379697928
UP03_004	517	0.0907973305234
UP03_012	1132	0.19880576045
UP03_020	1622	0.284861257464
UP03_028	2223	0.390410958904
UP03_036	446	0.0783280646294
UP03_044	418	0.0734106076572
UP03_005	904	0.158763610818
UP03_013	491	0.0862311204777
UP03_021	540	0.0948366701791
UP03_029	499	0.0876361081841
UP03_037	1110	0.194942044257
UP03_045	640	0.112399016509
UP03_006	738	0.129610115911
UP03_014	592	0.10396909027
UP03_022	695	0.12205830699
UP03_030	451	0.0792061819459
UP03_038	1329	0.233403582719
UP03_046	522	0.0916754478398
UP03_007	1440	0.252897787144
UP03_015	2109	0.370389884089
UP03_023	1003	0.176150333685
UP03_031	5171	0.908148928697
UP03_039	3947	0.693185809624
UP03_047	893	0.156831752722
UP03_008	492	0.086406743941
UP03_016	2442	0.428872497366
UP03_024	3552	0.623814541623
UP03_032	1181	0.207411310151
UP03_040	543	0.095363540569
UP03_048\n	0	0.0
