"sample"	"n_loci"	"population"	"group"
"509"	"PWS12_004"	23357	"PWSound12"	"Alaska"
"593"	"UP03_040"	23368	"UnimakPass03"	"Alaska"
"594"	"UP03_041"	23376	"UnimakPass03"	"Alaska"
"518"	"PWS12_013"	23378	"PWSound12"	"Alaska"
"199"	"HS04_037"	23385	"HecStrait04"	"Alaska"
"527"	"PWS12_022"	23385	"PWSound12"	"Alaska"
"546"	"PWS12_094"	23388	"PWSound12"	"Alaska"
"532"	"PWS12_041"	23389	"PWSound12"	"Alaska"
"570"	"UP03_017"	23391	"UnimakPass03"	"Alaska"
"567"	"UP03_014"	23393	"UnimakPass03"	"Alaska"
"260"	"JB021108_41.1_92bp"	23398	"JinhaeBay08"	"Korea"
"376"	"KOD03_069"	23400	"Kodiak03"	"Alaska"
"504"	"PS12_047"	23400	"JuandeFuca12"	"Alaska"
"6"	"AD06_006"	23402	"Adak06"	"Alaska"
"35"	"AD06_035"	23404	"Adak06"	"Alaska"
"151"	"GS13_006"	23406	"SalishSea12_13"	"Alaska"
"498"	"PS12_041"	23409	"JuandeFuca12"	"Alaska"
"484"	"PS12_027"	23414	"JuandeFuca12"	"Alaska"
"460"	"PS12_003"	23416	"SalishSea12_13"	"Alaska"
"615"	"WC05_014"	23422	"WashCoast05"	"Alaska"
"516"	"PWS12_011"	23429	"PWSound12"	"Alaska"
"626"	"WC05_025"	23429	"WashCoast05"	"Alaska"
"530"	"PWS12_031"	23433	"PWSound12"	"Alaska"
"41"	"AD06_041"	23435	"Adak06"	"Alaska"
"195"	"HS04_033"	23435	"HecStrait04"	"Alaska"
"492"	"PS12_035"	23435	"JuandeFuca12"	"Alaska"
"187"	"HS04_025"	23437	"HecStrait04"	"Alaska"
"25"	"AD06_025"	23445	"Adak06"	"Alaska"
"582"	"UP03_029"	23451	"UnimakPass03"	"Alaska"
"197"	"HS04_035"	23459	"HecStrait04"	"Alaska"
"572"	"UP03_019"	23459	"UnimakPass03"	"Alaska"
"481"	"PS12_024"	23463	"SalishSea12_13"	"Alaska"
"556"	"UP03_003"	23464	"UnimakPass03"	"Alaska"
"578"	"UP03_025"	23465	"UnimakPass03"	"Alaska"
"598"	"UP03_045"	23466	"UnimakPass03"	"Alaska"
"486"	"PS12_029"	23470	"JuandeFuca12"	"Alaska"
"557"	"UP03_004"	23470	"UnimakPass03"	"Alaska"
"525"	"PWS12_020"	23473	"PWSound12"	"Alaska"
"30"	"AD06_030"	23475	"Adak06"	"Alaska"
"165"	"HS04_003"	23476	"HecStrait04"	"Alaska"
