sample	n_loci	population	group
JUK07_11_92bp	24988	Jukbyeon07	Korea
JUK07_12_92bp	23566	Jukbyeon07	Korea
JUK07_13_92bp	24954	Jukbyeon07	Korea
JUK07_14_92bp	24543	Jukbyeon07	Korea
JUK07_15_92bp	24935	Jukbyeon07	Korea
JUK07_16.1_92bp	25061	Jukbyeon07	Korea
JUK07_16_rep.1_92bp	25049	Jukbyeon07	Korea
JUK07_17_92bp	23608	Jukbyeon07	Korea
JUK07_18_92bp	24621	Jukbyeon07	Korea
JUK07_19_92bp	24760	Jukbyeon07	Korea
JUK07_20_92bp	24393	Jukbyeon07	Korea
JUK07_21_92bp	24892	Jukbyeon07	Korea
JUK07_22_92bp	23974	Jukbyeon07	Korea
JUK07_23_92bp	25081	Jukbyeon07	Korea
JUK07_25_92bp	22584	Jukbyeon07	Korea
JUK07_26_92bp	24745	Jukbyeon07	Korea
JUK07_27_92bp	24772	Jukbyeon07	Korea
JUK07_28_92bp	23627	Jukbyeon07	Korea
JUK07_29.1_92bp	25032	Jukbyeon07	Korea
JUK07_30_92bp	25006	Jukbyeon07	Korea
JUK07_31_92bp	25168	Jukbyeon07	Korea
JUK07_32_92bp	24989	Jukbyeon07	Korea
JUK07_33_92bp	25025	Jukbyeon07	Korea
JUK07_34_92bp	24997	Jukbyeon07	Korea
JUK07_36.1_92bp	25033	Jukbyeon07	Korea
JUK07_37.1_92bp	25019	Jukbyeon07	Korea
KOD03_035	23566	Kodiak03	Alaska
KOD03_051	22910	Kodiak03	Alaska
KOD03_052	23540	Kodiak03	Alaska
KOD03_053	20937	Kodiak03	Alaska
KOD03_054	23600	Kodiak03	Alaska
KOD03_055	23800	Kodiak03	Alaska
KOD03_056	22861	Kodiak03	Alaska
KOD03_057	24096	Kodiak03	Alaska
KOD03_058	23054	Kodiak03	Alaska
KOD03_059	21244	Kodiak03	Alaska
KOD03_060	21505	Kodiak03	Alaska
KOD03_061	23859	Kodiak03	Alaska
KOD03_062	19815	Kodiak03	Alaska
KOD03_063	23625	Kodiak03	Alaska
KOD03_064	24137	Kodiak03	Alaska
KOD03_065	23874	Kodiak03	Alaska
KOD03_066	24052	Kodiak03	Alaska
KOD03_067	23893	Kodiak03	Alaska
KOD03_068	21238	Kodiak03	Alaska
KOD03_069	23400	Kodiak03	Alaska
KOD03_070	21901	Kodiak03	Alaska
KOD03_071	23586	Kodiak03	Alaska
KOD03_072	22032	Kodiak03	Alaska
KOD03_073	21716	Kodiak03	Alaska
KOD03_074	23479	Kodiak03	Alaska
KOD03_075	22175	Kodiak03	Alaska
KOD03_076	23295	Kodiak03	Alaska
KOD03_077	22676	Kodiak03	Alaska
KOD03_078	23640	Kodiak03	Alaska
KOD03_079	22024	Kodiak03	Alaska
KOD03_080	21913	Kodiak03	Alaska
KOD03_081	23886	Kodiak03	Alaska
KOD03_082	23685	Kodiak03	Alaska
KOD03_083	22913	Kodiak03	Alaska
KOD03_084	23612	Kodiak03	Alaska
KOD03_085	23493	Kodiak03	Alaska
KOD03_086	22776	Kodiak03	Alaska
KOD03_087	16294	Kodiak03	Alaska
KOD03_088	18229	Kodiak03	Alaska
KOD03_089	23871	Kodiak03	Alaska
KOD03_090	23354	Kodiak03	Alaska
KOD03_091	19139	Kodiak03	Alaska
KOD03_092	15954	Kodiak03	Alaska
KOD03_093	23162	Kodiak03	Alaska
KOD03_094	21655	Kodiak03	Alaska
KOD03_095	22236	Kodiak03	Alaska
KOD03_096	23541	Kodiak03	Alaska
KOD03_097	23054	Kodiak03	Alaska
NA021015_02.1_92bp	24765	Namhae15	Korea
NA021015_03.1_92bp	24774	Namhae15	Korea
NA021015_06.1_92bp	25133	Namhae15	Korea
NA021015_06_2_92bp	25436	Namhae15	Korea
