sample	n_loci	population	group
HS04_002	21712	HecStrait04	Alaska
HS04_003	22943	HecStrait04	Alaska
HS04_001	22883	HecStrait04	Alaska
PO010715_26_2_92bp	24833	Pohang15	Korea
GEO020414_13_92bp	18	Geoje14	Korea
HS04_008	23561	HecStrait04	Alaska
HS04_009	22019	HecStrait04	Alaska
JB121807_39_92bp	24529	JinhaeBay07	Korea
PWS12_079	23206	PWSound12	Alaska
PO031715_23_92bp	24732	Pohang15	Korea
YS121316_30_92bp	24652	YellowSea16	Korea
JB021108_24_c_92bp	21830	JinhaeBay08	Korea
JUK07_17_92bp	22138	Jukbyeon07	Korea
GE011215_29.1_92bp	23638	Geoje15	Korea
BOR07_10.1_92bp	24765	Boryeong07	Korea
KOD03_062	16860	Kodiak03	Alaska
KOD03_061	23402	Kodiak03	Alaska
KOD03_060	19231	Kodiak03	Alaska
KOD03_067	23429	Kodiak03	Alaska
KOD03_066	23498	Kodiak03	Alaska
BOR07_05.1_92bp	24669	Boryeong07	Korea
KOD03_064	23665	Kodiak03	Alaska
KOD03_069	22789	Kodiak03	Alaska
JB021108_36_rep.1_92bp	24472	JinhaeBay08	Korea
JUK07_18_92bp	23393	Jukbyeon07	Korea
BOR07_18_92bp	24320	Boryeong07	Korea
PO020515_17.1_92bp	24570	Pohang15	Korea
KOD03_065	23342	Kodiak03	Alaska
JB021108_36.1_92bp	24491	JinhaeBay08	Korea
KOD03_089	23321	Kodiak03	Alaska
JB121807_20.1_92bp	24348	JinhaeBay07	Korea
PO010715_28.1_92bp	24849	Pohang15	Korea
KOD03_081	23371	Kodiak03	Alaska
KOD03_080	20073	Kodiak03	Alaska
GE012315_11_2_92bp	25147	Geoje15	Korea
KOD03_082	23173	Kodiak03	Alaska
KOD03_085	22925	Kodiak03	Alaska
KOD03_084	23037	Kodiak03	Alaska
KOD03_087	12085	Kodiak03	Alaska
JUK07_11_92bp	24346	Jukbyeon07	Korea
PWS12_014	23387	PWSound12	Alaska
JB121807_03_rep_92bp	24395	JinhaeBay07	Korea
