per locus comparison. all values as proportions
locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
10684	50	0.0	0.14	0.0	0.86	0.0	0.0	1.0	0.0
10687	50	0.0	0.16	0.0	0.84	0.0	0.0	0.928571428571	0.0714285714286
10689	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
10691	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10692	50	0.0	0.02	0.0	0.98	0.0	0.0	0.795918367347	0.204081632653
10693	50	0.0	0.08	0.0	0.92	0.0	0.0	1.0	0.0
10699	50	0.0	0.0	0.0	1.0	0.0	0.0	0.9	0.1
10704	50	0.0	0.1	0.0	0.9	0.0	0.0	1.0	0.0
10705	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10706	50	0.0	0.0	0.0	1.0	0.0	0.0	0.88	0.12
1071	50	0.0	0.1	0.0	0.9	0.0	0.0	1.0	0.0
10715	50	0.0	0.04	0.0	0.96	0.0	0.0	0.895833333333	0.104166666667
10719	50	0.0	0.02	0.0	0.98	0.0	0.0	0.775510204082	0.224489795918
10722	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10727	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10735	50	0.0	0.04	0.0	0.96	0.0	0.0	1.0	0.0
10740	50	0.0	0.1	0.0	0.9	0.0	0.0	0.4	0.6
10745	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10751	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10753	50	0.0	0.96	0.0	0.04	0.0	0.0	1.0	0.0
1076	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10763	50	0.0	0.1	0.0	0.9	0.0	0.0	0.555555555556	0.444444444444
10765	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
1077	50	0.0	0.88	0.0	0.12	0.0	0.0	1.0	0.0
10770	50	0.0	0.08	0.0	0.92	0.0	0.0	0.95652173913	0.0434782608696
10771	50	0.0	0.0	0.0	1.0	0.0	0.0	0.82	0.18
10780	50	0.0	0.1	0.0	0.9	0.0	0.0	0.977777777778	0.0222222222222
10783	50	0.0	0.02	0.0	0.98	0.0	0.0	0.836734693878	0.163265306122
