locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
2209	50	0.02	0.0	0.0	0.98	1.0	0.0	0.0	0.0
2210	50	0.0	0.04	0.04	0.92	1.0	0.0	0.0	0.0
2214	50	0.02	0.0	0.02	0.96	1.0	0.0	0.0	0.0
2217	50	0.0	0.02	0.06	0.92	0.978260869565	0.0	0.0217391304348	0.0
2219	50	0.02	0.0	0.04	0.94	1.0	0.0	0.0	0.0
2220	50	0.0	0.0	0.1	0.9	1.0	0.0	0.0	0.0
2221	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
2223	50	0.1	0.1	0.06	0.74	0.945945945946	0.0	0.0540540540541	0.0
2228	50	0.1	0.2	0.04	0.66	1.0	0.0	0.0	0.0
2234	50	0.06	0.0	0.04	0.9	1.0	0.0	0.0	0.0
2240	50	0.08	0.14	0.04	0.74	1.0	0.0	0.0	0.0
2241	50	0.16	0.14	0.08	0.62	1.0	0.0	0.0	0.0
2244	50	0.26	0.08	0.08	0.58	1.0	0.0	0.0	0.0
2246	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
2249	50	0.0	0.0	0.0	1.0	0.96	0.0	0.0	0.04
2253	50	0.0	0.02	0.1	0.88	1.0	0.0	0.0	0.0
2255	50	0.02	0.0	0.02	0.96	1.0	0.0	0.0	0.0
2256	50	0.04	0.0	0.04	0.92	1.0	0.0	0.0	0.0
2257	50	0.04	0.0	0.02	0.94	1.0	0.0	0.0	0.0
2258	50	0.26	0.06	0.06	0.62	1.0	0.0	0.0	0.0
2261	50	0.12	0.14	0.04	0.7	1.0	0.0	0.0	0.0
2262	50	0.38	0.24	0.06	0.32	1.0	0.0	0.0	0.0
2263	50	0.14	0.1	0.0	0.76	0.947368421053	0.0	0.0	0.0526315789474
2265	50	0.2	0.28	0.04	0.48	1.0	0.0	0.0	0.0
2268	50	0.04	0.0	0.0	0.96	1.0	0.0	0.0	0.0
2270	50	0.04	0.0	0.04	0.92	0.978260869565	0.0	0.0	0.0217391304348
2271	50	0.04	0.0	0.02	0.94	1.0	0.0	0.0	0.0
2274	50	0.0	0.0	0.06	0.94	1.0	0.0	0.0	0.0
2275	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
2277	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
2279	50	0.06	0.12	0.04	0.78	1.0	0.0	0.0	0.0
2281	50	0.06	0.0	0.06	0.88	1.0	0.0	0.0	0.0
2283	50	0.1	0.08	0.08	0.74	1.0	0.0	0.0	0.0
2292	50	0.1	0.16	0.08	0.66	0.969696969697	0.0	0.030303030303	0.0
2294	50	0.1	0.16	0.04	0.7	0.971428571429	0.0	0.0	0.0285714285714
2296	50	0.1	0.0	0.04	0.86	1.0	0.0	0.0	0.0
2300	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
2301	50	0.08	0.0	0.08	0.84	1.0	0.0	0.0	0.0
2306	50	0.1	0.14	0.02	0.74	0.972972972973	0.0	0.0	0.027027027027
2309	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
2313	50	0.16	0.1	0.1	0.64	0.96875	0.0	0.0	0.03125
2314	50	0.02	0.0	0.0	0.98	1.0	0.0	0.0	0.0
2315	50	0.18	0.12	0.08	0.62	0.967741935484	0.0	0.0	0.0322580645161
2320	50	0.04	0.0	0.04	0.92	1.0	0.0	0.0	0.0
2321	50	0.22	0.08	0.04	0.66	0.969696969697	0.0	0.030303030303	0.0
2322	50	0.0	0.02	0.04	0.94	0.978723404255	0.0	0.0	0.0212765957447
2323	50	0.0	0.0	0.06	0.94	1.0	0.0	0.0	0.0
