LIST OF LOGLIKELIHOODS

This output shows the Ln(Likelihood) for each of the four following
relationships:

U  = Unrelated
HS = Half Sibs
FS = Full Sibs
PO = Parent / Offspring

Interpretation

R                     This column lists the relationship with the highest likelihood.
LnL(R)                This column lists the log likelihood of R
Delta Ln(L)           These columns list how much lower the log likelihoods are for
                          the other relationships. For example, if there is a 2.1
                          the FS column, it means that the loglikelihood of the
                          individuals being full sibs is 2.1 less than the
                          loglikelihood of the relationship with the highest
                          likelihood.

Note:                 A Delta Ln(L) of '9999' indicates that the relationship
                           is not possible.


						Delta Ln(L)
Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
PS12_010	PS12_008	U	-2744.06		-	26.31	177.54	9999
PS12_010	PS12_009	U	-2629.81		-	17.89	161.45	9999
PS12_011	GS13_001	U	-2896.09		-	41.68	206.06	9999
PS12_011	GS13_002	U	-2291.94		-	19.83	148.18	9999
PS12_011	GS13_003	U	-2708.21		-	24.23	171.04	9999
PS12_011	GS13_004	U	-2360.53		-	24.07	159.27	9999
PS12_011	GS13_005	U	-2877.49		-	50.63	231.68	9999
PS12_011	GS13_006	U	-2845.09		-	26.17	182.39	9999
PS12_011	GS13_007	U	-2515.40		-	8.61	138.25	9999
PS12_011	GS13_008	U	-2823.45		-	38.77	212.79	9999
PS12_011	GS13_009	U	-2230.74		-	26.09	146.85	9999
PS12_011	GS13_010	U	-2442.25		-	16.56	150.49	9999
PS12_011	GS13_011	U	-2763.46		-	13.94	151.09	9999
PS12_011	GS13_012	U	-2892.32		-	15.57	163.94	9999
PS12_011	GS13_013	U	-2774.25		-	28.70	177.12	9999
PS12_011	GS13_014	U	-2769.27		-	15.40	172.85	9999
PS12_011	GS13_015	U	-2643.94		-	37.41	194.13	9999
PS12_011	GS13_016	U	-2834.18		-	44.13	218.39	9999
PS12_011	GS13_017	U	-2819.86		-	25.74	183.70	9999
PS12_011	PS12_001	U	-2710.17		-	34.46	191.58	9999
PS12_011	PS12_002	U	-2553.40		-	26.69	167.97	9999
PS12_011	PS12_003	U	-2818.08		-	27.12	173.51	9999
PS12_011	PS12_004	U	-2399.37		-	23.42	157.55	9999
PS12_011	PS12_005	U	-2699.76		-	29.13	180.56	9999
PS12_011	PS12_006	U	-2797.60		-	32.29	198.29	9999
